,ID1,ID2,Weight
723,Tao15,V6M,6.0
724,Op10,She13,31.0
725,She4,She5,27.0
726,Op21,V22M,5.0
727,She3,V6M,22.0
728,Mot15,Mot2,3.0
729,Op20,She5,95.0
730,Mot22,PT2,19.0
731,Mot22,Tao15,20.0
732,Op33,V22M,22.0
733,T6M,Tao8,3.0
734,Mot1,Mot12,4.0
735,Op21,PT1,2.0
736,Tao15,Tet1,6.0
737,Op17,She1,1.0
738,Op23,She8,18.0
739,T6F,Tao10,4.0
740,Op10,She9,20.0
741,She3,Tet1,35.0
742,T6M,Tao12,16.0
743,Mot11,Mot15,5.0
744,She3,She5,48.0
745,M6F,Mot17,1.0
746,Op19,She4,17.0
747,Op21,Op24,11.0
748,Mot11,Mot7,6.0
749,Op31,Op5,25.0
750,Op18,She3,24.0
751,Op33,Op4,20.0
752,Op21,Tet1,3.0
753,She4,She8,15.0
754,Op22,V23M,6.0
755,PT2,V19M,12.0
756,T6M,Tao10,16.0
757,Op18,Tet1,14.0
758,Mot13,Mot21,4.0
759,Op22,She1,6.0
760,Op13,PT1,8.0
761,She8,Tet1,18.0
762,Tao3,Tao9,1.0
763,Op33,V23M,10.0
764,Mot1,Mot4,2.0
765,Op18,V6M,14.0
766,She8,V21M,6.0
767,Op21,Op33,8.0
768,She9,V21M,9.0
769,Op8,She3,62.0
770,Op23,She5,21.0
771,Op19,Op6,24.0
772,Tao10,Tao12,21.0
773,Op16,She1,32.0
774,Op41,PT2,5.0
775,Op16,She9,4.0
776,Op21,She8,7.0
777,PT2,She13,14.0
778,Mot17,Mot4,1.0
779,Tao11,Tao16,4.0
780,Op10,She8,47.0
781,Mot13,Mot4,2.0
782,Tao8,V21M,6.0
783,M6F,Mot2,1.0
784,Tao10,Tao13,1.0
785,Op5,She13,32.0
786,Op17,Op8,5.0
787,Tet4,V23M,4.0
788,Op41,She4,6.0
789,Op8,Tao8,29.0
790,Op31,She5,48.0
791,She5,V19M,16.0
792,She13,She9,13.0
793,Mot17,Mot7,3.0
794,Op9,V21M,3.0
795,Op23,She3,12.0
796,Op10,Op20,71.0
797,Tao6,Tao9,1.0
798,Mot13,Tet4,6.0
799,Op6,V6M,11.0
800,Op18,Op33,41.0
801,Op16,Op21,6.0
802,Op13,Tao5,9.0
803,Op10,She5,71.0
804,She5,Tao15,20.0
805,RF2,RF7,14.0
806,She5,V12M,13.0
807,Mot20,Mot21,6.0
808,Mot19,Tet1,8.0
809,Op31,Tao15,8.0
810,Mot16,Tao19,2.0
811,PT1,PT2,15.0
812,M12M,Mot8,4.0
813,Op22,She4,10.0
814,Op33,She3,46.0
815,Op10,PT1,27.0
816,M11F,Tao10,9.0
817,Mot1,Mot5,3.0
818,Op10,Tao8,23.0
819,Mot22,Op21,7.0
820,Mot12,R14M,2.0
821,Op13,Op21,2.0
822,Mot11,Mot19,22.0
823,Op19,Op27,4.0
824,Op4,She3,18.0
825,She4,V6M,5.0
826,Tao8,V23M,10.0
827,PT7,RF7,8.0
828,Op17,V6M,2.0
829,Op16,Op22,10.0
830,Op5,V21M,9.0
831,Mot22,Op8,39.0
832,Mot1,Mot14,1.0
833,Op4,Op5,16.0
834,Tao15,V12M,6.0
835,Op21,She1,3.0
836,Op19,Op22,18.0
837,Op16,PT2,28.0
838,Op33,She1,55.0
839,Op4,She13,13.0
840,M12M,Mot4,1.0
841,Op24,Tet1,10.0
842,Op6,Tet1,17.0
843,Op23,Op31,19.0
844,RF3,RF7,2.0
845,PT7,R21F,2.0
846,Op33,PT1,27.0
847,Op8,V12M,13.0
848,Mot16,Tao16,6.0
849,R6F,RF7,6.0
850,Mot15,R14M,5.0
851,Tao15,V19M,8.0
852,She4,V22M,11.0
853,Mot16,Tao10,9.0
854,She3,V23M,9.0
855,Op16,Op9,5.0
856,Op18,V23M,9.0
857,Mot16,Tao12,10.0
858,Tao15,V23M,4.0
859,She3,Tao15,9.0
860,Mot18,Mot20,8.0
861,Mot22,She9,9.0
862,PT2,V22M,6.0
863,Op17,Op19,4.0
864,PT2,She9,11.0
865,Op19,Tet1,12.0
866,She13,V21M,6.0
867,PT2,V21M,6.0
868,M12M,Mot13,4.0
869,Op20,Op22,16.0
870,Op13,V11M,9.0
871,Tet1,Tet6,11.0
872,Op22,Op31,9.0
873,Op20,Op21,9.0
874,PT2,She3,32.0
875,Mot19,Mot7,5.0
876,Tet1,V6M,18.0
877,Op9,She9,4.0
878,Op27,She3,4.0
879,Op18,She1,17.0
880,PT2,Tet1,25.0
881,Op33,She8,49.0
882,Op4,She5,38.0
883,Op10,Tao15,14.0
884,Op23,Op27,4.0
885,Op21,Op41,4.0
886,T6F,Tao6,1.0
887,Op5,She4,15.0
888,Op24,PT2,13.0
889,Mot22,Op17,3.0
890,Mot12,Mot15,2.0
891,Op10,V11M,11.0
892,Op22,Op5,11.0
893,Tet1,V12M,10.0
894,Op13,Op20,17.0
895,Tao5,V22M,5.0
896,Op22,Op23,2.0
897,Op19,Op41,7.0
898,M6F,Mot1,1.0
899,Op20,Tet1,25.0
900,Tet4,V12M,8.0
901,Mot11,Mot13,12.0
902,Op21,Op22,10.0
903,Mot11,R14M,11.0
904,Op24,Op31,13.0
905,M6F,Mot12,1.0
906,Op27,She8,4.0
907,Op21,Op8,8.0
908,Op5,PT2,26.0
909,She1,Tao8,14.0
910,Op21,She4,5.0
911,Tao6,Tao7,1.0
912,Op10,Op8,51.0
913,Mot1,Mot21,3.0
914,Op31,She3,22.0
915,Op27,Tet1,4.0
916,Mot13,Mot17,12.0
917,Op33,Op6,32.0
918,T18M,T6F,4.0
919,Mot22,V21M,6.0
920,RF2,RF4,3.0
921,Op21,Op4,5.0
922,Op24,Op4,8.0
923,Op17,Tao8,3.0
924,Op10,V22M,11.0
925,M6F,Mot11,1.0
926,Op18,Op8,33.0
927,Op21,Op23,1.0
928,Op31,Op6,30.0
929,Mot12,Mot13,4.0
930,Op5,V23M,5.0
931,She4,V19M,7.0
932,Op17,Op18,4.0
933,Mot18,Mot7,6.0
934,Mot1,Tet4,4.0
935,Tao10,Tao19,2.0
936,Op41,Op6,4.0
937,Mot22,Op41,4.0
938,Op33,Tet1,25.0
939,She4,Tet4,5.0
940,Tao11,Tao7,2.0
941,Mot12,Mot2,2.0
942,Op22,V19M,6.0
943,Op5,Op6,32.0
944,RF7,Tao19,5.0
945,Op17,Tao15,2.0
946,Op8,V19M,23.0
947,She9,Tao5,10.0
948,Op16,She3,29.0
949,Op31,V19M,15.0
950,She1,Tet1,7.0
951,Op24,V19M,8.0
952,T6M,Tao3,3.0
